title,link,cited,relatedLink,position,numOfVersions,publishedData,snippet
Differential received signal strength based RFID positioning for construction equipment tracking,https://www.sciencedirect.com/science/article/pii/S1474034619302083,Cited by 56,"https://scholar.google.com/scholar?q=related:CtlWuV3wZYgJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",50,All 3 versions,"C Wu, X Wang, M Chen, MJ Kim - Advanced Engineering Informatics, 2019 - Elsevier","… carried out in open environment and then a further experiment is conducted in a LNG training
centre to validate our proposed algorithm. The results show that our proposed algorithm can
achieve better accuracy than existing RFID positioning approaches for equipment tracking … 
"
Human factor issues with automated mining equipment,https://benthamopen.com/ABSTRACT/TOERGJ-4-74,Cited by 66,"https://scholar.google.com/scholar?q=related:OsbuzpIn4JQJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",51,All 7 versions,"D Lynas, T Horberry - The Ergonomics Open Journal, 2011 - benthamopen.com",This paper presents an extended literature review of the human factors impacts of current and future automation in the minerals industry. It begins by defining what is automation and stating why it is being developed and deployed. It then outlines why it is important to …
Effects of aquatic exercise training using water-resistance equipment in elderly,https://link.springer.com/article/10.1007/s00421-009-1306-0,Cited by 188,"https://scholar.google.com/scholar?q=related:dsJ7G7lZIZ8J:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",52,All 12 versions,"Y Katsura, T Yoshikawa, SY Ueda, T Usui… - European journal of …, 2010 - Springer","… Additionally, 10-m obstacle walking and 5-m maximum walking speed and length with eye-open
were significantly improved in the … The present aquatic exercise training using water-resistance
equipment may be used by the elderly to improve balance and walking ability, which … 
"
… plastic waste management under COVID-19 pandemic: Policy solutions based on redesign and reduction of single-use plastics and personal protective equipment,https://www.sciencedirect.com/science/article/pii/S0048969720340870,Cited by 110,"https://scholar.google.com/scholar?q=related:Ktf1N4UQ1IUJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",53,All 15 versions,"ALP Silva, JC Prata, TR Walker, D Campos… - Science of the Total …, 2020 - Elsevier","… was incinerated, 25% recycled, and 42% inefficiently treated (ie, either littered or inadequately
disposed of in dumps or open landfills) (Hahladakis et … and healthcare facilities by family/visitors,
and the incentive in the use of plastic-based personal protective equipment [PPE] (eg … 
"
Autonomous pro-active real-time construction worker and equipment operator proximity safety alert system,https://www.sciencedirect.com/science/article/pii/S0926580510000361,Cited by 384,"https://scholar.google.com/scholar?q=related:QCNSXtXVOI8J:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",54,All 5 versions,"J Teizer, BS Allread, CE Fullerton, J Hinze - Automation in construction, 2010 - Elsevier","… 9. Alert types for workers-on-foot and equipment operators: (a) vehicle approaching motor grader;
(b) alerts inside both equipment cabins; audio and visual alerts for worker-on-foot and equipment
operator in open cabins of a (c) scraper (rear view), and on a (d) sheep-foot-roller … 
"
Chemical hazards associated with treatment of waste electrical and electronic equipment,https://www.sciencedirect.com/science/article/pii/S0956053X10004393,Cited by 466,"https://scholar.google.com/scholar?q=related:x8_IfREO7xwJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",55,All 15 versions,"O Tsydenova, M Bengtsson - Waste management, 2011 - Elsevier","… Share. Export. Advanced. Elsevier. Waste Management. Volume 31, Issue 1, January 2011, Pages
45-58. Waste Management. Review. Chemical hazards associated with treatment of waste
electrical and electronic equipment. Author links open overlay panelOyunaTsydenova … 
"
High-risk aerosol-generating procedures in COVID-19: respiratory protective equipment considerations,https://journals.sagepub.com/doi/abs/10.1177/0194599820927335,Cited by 85,"https://scholar.google.com/scholar?q=related:0Tq97gl3zgkJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",56,All 8 versions,"BE Howard - Otolaryngology–Head and Neck Surgery, 2020 - journals.sagepub.com","… Contents. Article Menu. Download PDF [PDF]. Open EPUB … High-Risk Aerosol-Generating
Procedures in COVID-19: Respiratory Protective Equipment Considerations. Brittany E. Howard,
MD. Otolaryngology–Head and Neck Surgery 2020 163:1, 98-103. Download Citation … 
"
Mobile fronthaul architecture and technologies: A RAN equipment assessment,https://www.osapublishing.org/abstract.cfm?uri=jocn-10-1-A1,Cited by 65,"https://scholar.google.com/scholar?q=related:7HUORpg-4hMJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",57,All 6 versions,"P Chanclou, LA Neto, K Grzybowski… - Journal of Optical …, 2018 - osapublishing.org","… Interface (CPRI), the Open Base Station Architecture Initiative (OBSAI), or the Open
Radio equipment Interface (ORI). Over the past … 0, 2006. [9] ETSI, “Open radio
equipment interface (ORI),” ETSI GS ORI 001 V4.1.1, Oct. 2014. [10 … 
"
Frontline healthcare workers' experiences with personal protective equipment during the COVID-19 pandemic in the UK: a rapid qualitative appraisal,https://bmjopen.bmj.com/content/11/1/e046199.abstract,Cited by 15,"https://scholar.google.com/scholar?q=related:geZGiPpSe2sJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",58,All 7 versions,"K Hoernke, N Djellouli, L Andrews, S Lewis-Jackson… - BMJ open, 2021 - bmjopen.bmj.com","Objectives To report frontline healthcare workers'(HCWs) experiences with personal protective equipment (PPE) during the COVID-19 pandemic in the UK. To understand HCWs' fears and concerns surrounding PPE, their experiences following its guidance and …"
Improving the use of personal protective equipment: applying lessons learned,https://academic.oup.com/cid/article-abstract/69/Supplement_3/S165/5568516,Cited by 19,"https://scholar.google.com/scholar?q=related:mlGgpB9dCIUJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",59,All 4 versions,"SC Reddy, AL Valderrama… - Clinical Infectious …, 2019 - academic.oup.com","… Hierarchy of controls for occupational hazards [15]. Abbreviation: PPE,
personal protective equipment. Figure 1. Open in new tab.
"
Preventive maintenance of mining equipment based on identification of its actual technical state,https://www.atlantis-press.com/proceedings/mining-14/14273,Cited by 20,"https://scholar.google.com/scholar?q=related:lwOia7u3gOAJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",60,All 7 versions,"K Vladimir, G Boris, K Aleksey… - Taishan Academic Forum …, 2014 - atlantis-press.com","… 188 Page 6. 3.Conclusion Nowadays, the reduction of specific operational costs on
maintenance at open pit equipment operation is one of the main reserves of production
efficiency increase. Modern methods of technical diagnosing … 
"
Review of wave energy technologies and the necessary power-equipment,https://www.sciencedirect.com/science/article/pii/S1364032113004541,Cited by 546,"https://scholar.google.com/scholar?q=related:5eySORGY6VUJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",61,All 11 versions,"I López, J Andreu, S Ceballos, IM De Alegría… - … and sustainable energy …, 2013 - Elsevier","… Share. Export. Advanced. Elsevier. Renewable and Sustainable Energy Reviews. Volume 27,
November 2013, Pages 413-434. Renewable and Sustainable Energy Reviews. Review of wave
energy technologies and the necessary power-equipment. Author links open overlay … 
"
Cooling options for rack equipment with side-to-side airflow,http://www.apcdistributors.com/white-papers/Cooling/WP-50%20Cooling%20Options%20for%20Rack%20Equipment%20with%20Side-to-Side%20Airflow.pdf,Cited by 56,"https://scholar.google.com/scholar?q=related:-kBwcpkLdF0J:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",62,All 3 versions,"N Rasmussen - White Paper, 2004 - apcdistributors.com","… Figure 6 – Dispersion effect of air on staggered equipment in open frame racks Switch Front View …
Like the open frame racks, equipment with side-to-side airflow placed in full enclosures does
not fill the enclosure to full physical capacity, due to powering or cooling limitations … 
"
"What we are really doing with ICT in physical education: a national audit of equipment, use, teacher attitudes, support, and training",https://bera-journals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8535.2006.00520.x,Cited by 161,"https://scholar.google.com/scholar?q=related:YHFVgaJPTFkJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",63,All 7 versions,"A Thomas, G Stratton - British Journal of Educational …, 2006 - Wiley Online Library","… England was mostly negative towards using ICT in PE. Schools in this region had
the least amount of ICT equipment and hardware, perhaps offering an explanation
for this negative attitude. image Figure 4 Open in figure viewer.
"
Experiences of nurses on the critical shortage of medical equipment at a rural district hospital in South Africa: a qualitative study,https://www.ajol.info/index.php/pamj/article/view/167360,Cited by 36,"https://scholar.google.com/scholar?q=related:Gng_gZy1LHEJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",64,All 13 versions,"MB Moyimane, SF Matlala, MP Kekana - Pan African Medical Journal, 2017 - ajol.info","… Voice recordings were transcribed verbatim and Tesch's open coding method was used for data
analysis. Findings were confirmed by an independent coder. Results: Critical shortage of medical
equipment at the hospital occurred in the form of unavailability of equipment, low … 
"
Auxiliary equipment for downhole fittings of injection wells and water supply lines used to improve their performance in winter,https://iopscience.iop.org/article/10.1088/1757-899X/560/1/012071/meta,Cited by 31,"https://scholar.google.com/scholar?q=related:htVWe-D1fW4J:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",65,All 3 versions,"LS Kuleshova, RR Kadyrov… - IOP Conference …, 2019 - iopscience.iop.org","Page 1. IOP Conference Series: Materials Science and Engineering PAPER • OPEN ACCESS
Auxiliary equipment for downhole fittings of injection wells and water supply lines used to improve
their performance in winter To cite this article: LS Kuleshova et al 2019 IOP Conf … 
"
Automatic spatio-temporal analysis of construction site equipment operations using GPS data,https://www.sciencedirect.com/science/article/pii/S0926580512001537,Cited by 203,"https://scholar.google.com/scholar?q=related:apqYEWg3AFQJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",66,All 4 versions,"N Pradhananga, J Teizer - Automation in Construction, 2013 - Elsevier","… Share. Export. Advanced. Elsevier. Automation in Construction. Volume 29, January 2013, Pages
107-122. Automation in Construction. Automatic spatio-temporal analysis of construction site
equipment operations using GPS data. Author links open overlay panelNipesh … 
"
Remote control of a domestic equipment from an Android application based on Raspberry pi card,https://ieeexplore.ieee.org/abstract/document/7086757/,Cited by 53,"https://scholar.google.com/scholar?q=related:fq0GO09jYj0J:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",67,All 4 versions,"H Lamine, H Abid - … Conference on Sciences and Techniques of …, 2014 - ieeexplore.ieee.org","… bare (single motherboard, without housing, power supply, keyboard, mouse and screen) with
the aim to reduce costs and enable the use of recovery equipment … rotate the engine each time
in one direction and the other, to offer the user manual two struts push to open or close … 
"
Thermal control of electronic equipment and devices,https://www.sciencedirect.com/science/article/pii/S0065271708700285,Cited by 375,"https://scholar.google.com/scholar?q=related:FH0c59-Nzb4J:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",68,All 5 versions,"GP Peterson, A Ortega - Advances in heat transfer, 1990 - Elsevier",
"Air, surface environmental, and personal protective equipment contamination by severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) from a symptomatic …",https://jamanetwork.com/journals/jama/article-abstract/2762692,Cited by 1754,"https://scholar.google.com/scholar?q=related:-WghDrcUI0IJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",69,All 11 versions,"SWX Ong, YK Tan, PY Chia, TH Lee, OT Ng… - Jama, 2020 - jamanetwork.com","… 2020. Permissions. Research Letter. March 4, 2020. Air, Surface Environmental, and
Personal Protective Equipment Contamination by Severe Acute Respiratory Syndrome
Coronavirus 2 (SARS-CoV-2) From a Symptomatic Patient … 
"
Positive flow control of closed-center electrohydraulic implement-by-wire systems for mobile equipment applications,https://www.sciencedirect.com/science/article/pii/S0957415803000679,Cited by 55,"https://scholar.google.com/scholar?q=related:3_Zn_d6BDogJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",70,All 4 versions,"S Cetinkunt, U Pinsopon, C Chen, A Egelja, S Anwar - Mechatronics, 2004 - Elsevier","… valves and load sensing hydraulic pump systems have been quickly replacing the older generation
of hydro-mechanically controlled (pilot actuated, mechanically controlled) open-center valves
and fixed displacement pump systems in mobile equipment applications such as … 
"
