,da,unique-id,doc-delivery-number,journal-iso,usage-count-since-2013,usage-count-last-180-days,times-cited,number-of-cited-references,author-email,web-of-science-categories,research-areas,keywords-plus,keywords,eissn,issn,doi,affiliation,language,type,address,publisher,abstract,month,pages,number,volume,year,journal,title,author,ENTRYTYPE,ID,funding-text,funding-acknowledgement,oa,orcid-numbers,researcherid-numbers,article-number,organization,note,isbn,booktitle,book-group-author,meeting,series,editor,esi-hot-paper,esi-highly-cited-paper,book-author
324,{2020-04-29},{ISI:000426816500057},{BJ6LR},,{2},{0},{0},{11},"{butin.valentin@gmail.com
anastasia.butina@gmail.com}","{Engineering, Multidisciplinary}",{Engineering},{DISPLACEMENT DAMAGE; SILICON},"{Bipolar transistors; Calibration Microcontrollers; Measurement
techniques; Neutron radiation effects; Open source hardware; Open source
software; Radiation detector circuits; Radiation monitoring; Radiation
detectors}",,,,"{Butin, VI (Reprint Author), Dukhov Res Inst Automat VNIIA, Moscow, Russia.
Butin, V. I.; Butina, A. V., Dukhov Res Inst Automat VNIIA, Moscow, Russia.
Butin, V. I., Natl Res Nucl Univ, MEPhI Moscow Engn Phys Inst, Moscow, Russia.}",{English},{Proceedings Paper},"{345 E 47TH ST, NEW YORK, NY 10017 USA}",{IEEE},"{An efficient practical method for bipolar transistor application for
neutron fluence registration is presented. The method is focused on
neutron fluences damage effect correlation for various sources to
reference source. The bipolar transistor connection diagram and an
example of device realization based on STM32 microcontroller are
described. STM32 is used for providing test signals and parameter
registration used for gain factor calculation of bipolar transistors
monitor (BTM). The proposed approach allows considering the features of
pre-irradiated at reference source BTM and their application as the
neutron fluence monitors. These connection diagram and constructive
solutions provide ``on-line{''} neutron fluence registration for
different sources in terms of reference source as required for radiation
tests results verification.}",,{251-253},,,{2017},,"{Bipolar transistor application for ``on-line{''} neutron fluence
registration}","Butin, V. I. and Butina, A. V.",inproceedings,ISI:000426816500057,,,,,,,"{Inst Elect \& Elect Engn; Internet Soc; RAS, SB, Inst Computat Math \&
Math Geophys; State Sci Res Inst Physiol Basic Med; Inst Cytol \& Genet;
Novosibirsk State Univ}","{2017 International Multi-Conference on Engineering, Computer and
Information Sciences (SIBIRCON), Novosibirsk, RUSSIA, SEP 18-22, 2017}",{978-1-5386-1596-6},"{2017 INTERNATIONAL MULTI-CONFERENCE ON ENGINEERING, COMPUTER AND
INFORMATION SCIENCES (SIBIRCON)}",{IEEE},,,,,,
325,{2020-04-29},{ISI:000426571300046},{BJ6EH},,{0},{0},{0},{10},"{sebastian.marichal@upf.edu
ebakala@fing.edu.uy
arosalescl@uoc.edu
fernando.gonzalez@fic.edu.uy
gsansone@fadu.edu.uy
josep.blat@upf.edu
apires@psico.edu.uy}","{Computer Science, Cybernetics}",{Computer Science},,{Mixed-reality; open-source; open-hardware; tangible interaction},,,{10.1145/3098279.3125435},"{Marichal, S (Reprint Author), Univ Pompeu Fabra, Barcelona, Spain.
Marichal, Sebastian; Blat, Josep, Univ Pompeu Fabra, Barcelona, Spain.
Bakala, Ewelina, Univ Republica, Fac Engn, Montevideo, Uruguay.
Rosales, Andrea, Univ Oberta Catalunya, Barcelona, Spain.
Perilli, Fernando Gonzalez, Univ Republica, Fac Informat \& Commun, Montevideo, Uruguay.
Sansone, Gustavo, Fac Architecture, Montevideo, Uruguay.
Pires, Ana Cristina, Univ Republica, Fac Psychol, Montevideo, Uruguay.}",{English},{Proceedings Paper},"{1515 BROADWAY, NEW YORK, NY 10036-9998 USA}",{ASSOC COMPUTING MACHINERY},"{Mixed-reality environments allow to combine tangible interaction with
digital feedback, empowering interaction designers to take benefits from
both real and virtual worlds. This interaction paradigm is also being
applied in classrooms for learning purposes. However, most of the times
the devices supporting mixed-reality interaction are neither portable
nor affordable, which could be a limitation in the learning context. In
this paper we propose CETA, a mixed-reality environment using low-cost
Android tablets which tackles portability and costs issues. In addition,
CETA is open-source, reproducible and extensible.}",,,,,{2017},,"{CETA: Open, Affordable and Portable Mixed-reality Environment for
Low-cost Tablets}","Marichal, Sebastian and Bakala, Ewelina and Rosales, Andrea and Perilli,
Fernando Gonzalez and Sansone, Gustavo and Blat, Josep and Pires, Ana
Cristina",inproceedings,ISI:000426571300046,"{This project is funded by the National Agency for Research and
Innovation of Uruguay through its Digital Inclusion Grant (Fondo
Sectorial ``Inclusion Digital: Educacion con Nuevos Horizontes{''} -
2015:FSED\_2\_2015\_1\_120888)}","{National Agency for Research and Innovation of Uruguay through its
Digital Inclusion Grant (Fondo Sectorial ``Inclusion Digital: Educacion
con Nuevos Horizontes{''}) {[}2015:FSED\_2\_2015\_1\_120888]}",,"{Blat, Josep/0000-0002-5308-475X
Pires, Ana Cristina/0000-0001-7747-7112}","{Blat, Josep/J-2178-2015
}",,,"{19th International Conference on Human-Computer Interaction with Mobile
Devices and Services (MobileHCI), Vienna, AUSTRIA, SEP 04-07, 2017}",{978-1-4503-5075-4},"{PROCEEDINGS OF THE 19TH INTERNATIONAL CONFERENCE ON HUMAN-COMPUTER
INTERACTION WITH MOBILE DEVICES AND SERVICES (MOBILEHCI `17)}",{ACM},,,,,,
326,{2020-04-29},{ISI:000426625700130},{BJ6FX},,{0},{0},{0},{6},"{maxinyu@ncepu.edu.cn
chenchang@ncepu.edu.cn}","{Computer Science, Interdisciplinary Applications; Computer Science,
Theory \& Methods; Education \& Educational Research; Management}","{Computer Science; Education \& Educational Research; Business \&
Economics}",,"{Raspberry pi; Python; Ultrasonic; Picture processing; Frame difference
method}",,{2352-538X},,"{Ma, XY (Reprint Author), North China Elect Power Univ, Beijing 102206, Peoples R China.
Ma, Xinyu; Chen, Chang, North China Elect Power Univ, Beijing 102206, Peoples R China.}",{English},{Proceedings Paper},"{29 AVENUE LAVMIERE, PARIS, 75019, FRANCE}",{ATLANTIS PRESS},"{The paper mainly discusses the invention of an intelligent
bird-repellent device based on the Raspberry PI-an open source hardware
platform. Based on Raspberry Pi development board, embedded system is
used. Python language is used based on Linux system. By controlling of
the GPIO pin, detection of ultrasonic distance is realized. In addition,
web camera is used to collect images and grayscale images and apply a
Gaussian blur. Frame differential method is used to ensure the movement
of objects.}",,{649-653},,{76},{2017},,{An Intelligent Bird-repellent Device Based on Raspberry Pi},"Ma, Xinyu and Chen, Chang",inproceedings,ISI:000426625700130,,,,,,,,"{7th International Conference on Education, Management, Information and
Mechanical Engineering (EMIM), Shenyang, PEOPLES R CHINA, APR 28-30,
2017}",{978-94-6252-356-2},"{PROCEEDINGS OF THE 7TH INTERNATIONAL CONFERENCE ON EDUCATION,
MANAGEMENT, INFORMATION AND MECHANICAL ENGINEERING (EMIM 2017)}",,,{ACSR-Advances in Comptuer Science Research},"{Jing, W and Ning, X and Huiyu, Z}",,,
327,{2020-04-29},{ISI:000425855100006},{BJ5FM},,{0},{0},{1},{9},"{robert@cse.yorku.ca
jenkin@cse.yorku.ca
katherineallison98@gmail.com}","{Computer Science, Interdisciplinary Applications; Engineering,
Electrical \& Electronic; Robotics}",{Computer Science; Engineering; Robotics},,{embedded computing; mobile robotics; underwater robotics},,,,"{Codd-Downey, R (Reprint Author), York Univ, Dept Elect Engn \& Comp Sci, Toronto, ON M3J 1P3, Canada.
Codd-Downey, Robert; Jenkin, Michael; Allison, Katherine, York Univ, Dept Elect Engn \& Comp Sci, Toronto, ON M3J 1P3, Canada.}",{English},{Proceedings Paper},"{345 E 47TH ST, NEW YORK, NY 10017 USA}",{IEEE},"{Although there are a large number of autonomous robot platforms for
ground contact and flying robots, this has not been the case for
underwater robotic platforms. This is not due to the lack of interesting
applications in the shallow underwater domain (50m depth), but rather
due to the relative cost of building such platforms. This has recently
changed with the development of inexpensive thrusters and other
underwater components. Leveraging these components and design principles
learned from more expensive remotely operated vehicles this paper
describes Milton, an inexpensive open hardware design for a traditional
thruster-based underwater robot. Utilizing commercial off-the-shelf
hardware and a ROS infrastructure, Milton, and Milton-inspired designs
provide an inexpensive platform for autonomous underwater vehicle
research.}",,{30-34},,,{2017},,{Milton: An open hardware underwater autonomous vehicle},"Codd-Downey, Robert and Jenkin, Michael and Allison, Katherine",inproceedings,ISI:000425855100006,"{This work was supported by the Natural Sciences and Engineering Research
Council (NSERC) through the NSERC Canadian Field Robotics Network
(NCFRN).}","{Natural Sciences and Engineering Research Council (NSERC) through the
NSERC Canadian Field Robotics Network (NCFRN)Natural Sciences and
Engineering Research Council of Canada}",,,,,"{IEEE; IEEE Robot \& Automat Soc; Chinese Univ Hong Kong; State Key Lab
Robot \& Syst; Univ Macau; Shenzhen Inst Adv Technol; Harbin Inst
Technol; Shanghai Gaitech Sci Instruments Co Ltd; Apes Robot Co Ltd;
Chinese Assoc Automat; Amer Soc Mech Engineers; Robot Soc Japan; Japan
Soc Mech Engineers; Soc Instrument \& Control Engineers}","{IEEE International Conference on Information and Automation (ICIA),
Macau, PEOPLES R CHINA, JUL 18-20, 2017}",{978-1-5386-3154-6},"{2017 IEEE INTERNATIONAL CONFERENCE ON INFORMATION AND AUTOMATION (IEEE
ICIA 2017)}",{IEEE},,,,,,
328,{2020-04-29},{ISI:000425925000021},{BJ5HP},,{0},{0},{0},{5},"{jmardones@uach.cl
airoume@uach.cl
Rodrigo\_salacha@hotmail.com}","{Engineering, Electrical \& Electronic; Telecommunications}",{Engineering; Telecommunications},,"{Monitoring; Data Logging; Open Hardware; Open Source; Water Stream
Monitoring System; Forest and Plantation Basins Monitoring}",,,,"{Mardones, FJ (Reprint Author), Univ Austral Chile, Inst Elect \& Elect, Valdivia, Chile.
Jose Mardones, F.; Salazar Pincheira, Rodrigo, Univ Austral Chile, Inst Elect \& Elect, Valdivia, Chile.
Iroume Arrau, Andres, Univ Austral Chile, Inst Conservac Biodiversidad \& Terr, Valdivia, Chile.}",{Spanish},{Proceedings Paper},"{345 E 47TH ST, NEW YORK, NY 10017 USA}",{IEEE},"{The Data Register and Variable Monitoring System is designed and builded
for obtain data from several sensors that measure values of variables
from water flow in forest and plantation basins, such as water level of
water stream, conductivity, water pH, water temperature, environment
temperature and air humidity. This data is conditioned and registered at
permanent and removable SD memory stick. The system is able to take a
water sample by pumping and fill a glass test container for further
analysis. So, this system is a remote monitoring off line device and
sampler, to be located in very is very rough places where the access is
very difficult.}",,,,,{2017},,"{Data Register and Variable Monitoring System from Water Stream in Forest
and Plantation Basins}","Jose Mardones, F. and Iroume Arrau, Andres and Salazar Pincheira,
Rodrigo",inproceedings,ISI:000425925000021,,,,,,,"{IEEE Chile Sect; Asociac Chilena Control Automatico; IEEE Chilean
Chapter Control Syst; IEEE Chilean Chapter SMC; Macro Fac Chile; Univ
Frontera; Univ Bio Bio; Univ Talca; IEEE Syst, Man, \& Cybernet Soc}","{CHILEAN Conference on Electrical, Electronics Engineering, Information
and Communication Technologies (CHILECON), Pucon, CHILE, OCT 18-20, 2017}",{978-1-5386-3123-2},"{2017 CHILEAN CONFERENCE ON ELECTRICAL, ELECTRONICS ENGINEERING,
INFORMATION AND COMMUNICATION TECHNOLOGIES (CHILECON)}",{IEEE},,,,,,
329,{2020-04-29},{ISI:000425925000072},{BJ5HP},,{0},{0},{0},{4},"{albert.marro93@gmail.com
adalberto.gomez@udb.edu.sv
alepazte@hotmail.com}","{Engineering, Electrical \& Electronic; Telecommunications}",{Engineering; Telecommunications},,"{Mobile Robot; Internet of Thing; Web Socket; Raspberry Pi; Arduino;
JavaScript; CAD}",,,,"{Marroquin, A (Reprint Author), Univ Don Bosco, Inst Invest \& Innovac Elect, Soyapango, El Salvador.
Marroquin, Alberto; Gomez, Adalberto, Univ Don Bosco, Inst Invest \& Innovac Elect, Soyapango, El Salvador.
Paz, Alejandro, Univ Don Bosco, Dept Sistemas Informat, Soyapango, El Salvador.}",{Spanish},{Proceedings Paper},"{345 E 47TH ST, NEW YORK, NY 10017 USA}",{IEEE},"{The continuous development of Internet of Things brings new tools in
different areas of robotics, for example in the robotics of services.
This document presents a low-cost alternative for a mobile explorer
robot that uses open hardware and software, whose design is intended to
incorporate cameras, sensors and other peripherals to be able to inspect
its environment in addition to being controlled remotely using the
Internet technologies of the Things. For the first prototype, a camera
and a temperature/air humidity sensor are added to the mobile robot.
Through a graphical user interface (web application), the video is
visualized with the environmental measurements of the place that the
mobile robot runs and allows control it through the Internet.}",,,,,{2017},,"{Design and implementation of Explorer Mobile Robot controlled remotely
using IoT Technology}","Marroquin, Alberto and Gomez, Adalberto and Paz, Alejandro",inproceedings,ISI:000425925000072,,,,,,,"{IEEE Chile Sect; Asociac Chilena Control Automatico; IEEE Chilean
Chapter Control Syst; IEEE Chilean Chapter SMC; Macro Fac Chile; Univ
Frontera; Univ Bio Bio; Univ Talca; IEEE Syst, Man, \& Cybernet Soc}","{CHILEAN Conference on Electrical, Electronics Engineering, Information
and Communication Technologies (CHILECON), Pucon, CHILE, OCT 18-20, 2017}",{978-1-5386-3123-2},"{2017 CHILEAN CONFERENCE ON ELECTRICAL, ELECTRONICS ENGINEERING,
INFORMATION AND COMMUNICATION TECHNOLOGIES (CHILECON)}",{IEEE},,,,,,
330,{2020-04-29},{ISI:000425925000088},{BJ5HP},,{2},{0},{1},{20},"{pvelasquezc@udec.cl
lvasquez@uta.cl
ccorrea@udec.cl
dirivera@udec.cl}","{Engineering, Electrical \& Electronic; Telecommunications}",{Engineering; Telecommunications},{SPATIAL REPRESENTATIVENESS; QUALITY; STATIONS},{IoT; Environmental Monitoring; Big Data},,,,"{Velasquez, P (Reprint Author), Univ Concepcion, Dept Power \& Machinery, Chillan, Chile.
Velasquez, Pablo; Correa, Christian, Univ Concepcion, Dept Power \& Machinery, Chillan, Chile.
Vasquez, Lorenzo, Univ Tarapaca, Univ Sch Elect Engn Elect, Arica, Chile.
Rivera, Diego, Univ Concepcion, Dept Water Resources, Chillan, Chile.}",{English},{Proceedings Paper},"{345 E 47TH ST, NEW YORK, NY 10017 USA}",{IEEE},"{The concept of quality of life is used as a measure of the welfare of a
society, highlighting the relationship between the environment and
health, mainly associated with pollution. Hence the importance of
monitoring and communicating its results, in a timely manner, to the
community. But often the last part of the process fail, there is a lack
of communication between data, information and community. Using open
hardware and open source tools, and based on the Internet of things
concept, a low-cost citizen monitoring network, that cost less than US
\$150 was implemented. This network measures Carbon Monoxide (CO),
Temperature, Relative Humidity, Particulate Matter 2.5, Noise and UV
radiation, with a reading frequency of every 40 s and a hibernation
period of 15 min. The environmental monitoring network gather
information from the environment, through sensors, and then store it in
a MySQL database, to finally be deployed in a web site hosted on a local
web server Apache, implemented ex professo. In effect, the system is
able to deliver geotagged information and the state of environmental
pollution to the citizens.}",,,,,{2017},,"{A low-cost IoT based Environmental Monitoring System. A citizen approach
to pollution awareness.}","Velasquez, Pablo and Vasquez, Lorenzo and Correa, Christian and Rivera,
Diego",inproceedings,ISI:000425925000088,"{This work was supported by Center for Water Resources for Agriculture
and Mining FONDAP-15130015, FONDECYT Regular 1160656, and the Field
Robotics Research Lab.}","{Center for Water Resources for Agriculture and Mining
{[}FONDAP-15130015]; FONDECYTComision Nacional de Investigacion
Cientifica y Tecnologica (CONICYT)CONICYT FONDECYT {[}1160656]; Field
Robotics Research Lab}",,"{Rivera, Diego/0000-0003-0916-1540}","{Rivera, Diego/D-5092-2016}",,"{IEEE Chile Sect; Asociac Chilena Control Automatico; IEEE Chilean
Chapter Control Syst; IEEE Chilean Chapter SMC; Macro Fac Chile; Univ
Frontera; Univ Bio Bio; Univ Talca; IEEE Syst, Man, \& Cybernet Soc}","{CHILEAN Conference on Electrical, Electronics Engineering, Information
and Communication Technologies (CHILECON), Pucon, CHILE, OCT 18-20, 2017}",{978-1-5386-3123-2},"{2017 CHILEAN CONFERENCE ON ELECTRICAL, ELECTRONICS ENGINEERING,
INFORMATION AND COMMUNICATION TECHNOLOGIES (CHILECON)}",{IEEE},,,,,,
331,{2020-04-29},{ISI:000425861800008},{BJ5FR},,{2},{1},{0},{9},"{ajaykannan@ieee.org
ateendraramesh@ieee.org
lakshminarasimhan.srinivasan@ieee.org
vineethv@ieee.org}","{Computer Science, Information Systems; Telecommunications}",{Computer Science; Telecommunications},,"{gesture recognition; accelerometers; sensors; micro-controller;
prototype; open source hardware}",,,,"{Kalman, A (Reprint Author), Coll Engn, Guindy, Tamil Nadu, India.
Kalman, Ajay, Coll Engn, Guindy, Tamil Nadu, India.
Ramesh, Ateendra, SSN Coll Engn, Madras, Tamil Nadu, India.
Srinivasan, Lakshminarasimhan, SRM Univ, Madras, Tamil Nadu, India.
Vijayaraghavan, Vineeth, Solarill Fdn, Madras, Tamil Nadu, India.}",{English},{Proceedings Paper},"{345 E 47TH ST, NEW YORK, NY 10017 USA}",{IEEE},"{The primary objective of the paper is to construct and test a low-cost,
minimally supervised gesture recognition system which identifies static
gestures efficiently and accurately. The proposed system uses ADXL335
accelerometer sensors which track the gestures and these sensors are
interfaced with an Arduino ATMega 2560 micro-controller for data
processing and gesture recognition. The software of the system
implemented in the micro-controller, features a computationally feasible
algorithm which requires only nominal resources to recognize the
gestures. The paper further elucidates on minimizing the number of
accelerometers to reduce the cost and power-consumption of the system.
The performance of the system is assessed using static gestures in the
alphabets of the American Sign Language (ASL) across data-sets obtained
from 3 trained ASL signers. The average run-time efficiency of the
proposed system with a maximum and minimum configuration of 5 and 2
accelerometers was found to be 95.3\% and 87.0\%, with the cost of these
prototype systems being realized at 20 USD and 12.5 USD respectively. It
was also found that the system can be trained for the static gestures of
the alphabets in ASL under two minutes by a new-user with any system
configuration. The authors also feel that the system is compatible with
other IoT platforms for interoperability.}",,{43-48},,,{2017},,{Low-Cost Static Gesture Recognition System Using MEMS Accelerometers},"Kalman, Ajay and Ramesh, Ateendra and Srinivasan, Lakshminarasimhan and
Vijayaraghavan, Vineeth",inproceedings,ISI:000425861800008,"{The authors would like to acknowledge Solarillion Foundation for its
support and funding of the research work carried out for the design and
implementation of the gesture recognition glove prototype.}",{Solarillion Foundation},,,,,,"{Global Internet of Things Summit (GIoTS), Geneva, SWITZERLAND, JUN
06-09, 2017}",{978-1-5090-5873-0},{2017 GLOBAL INTERNET OF THINGS SUMMIT (GIOTS 2017)},{IEEE},,,,,,
332,{2020-04-29},{ISI:000425543100037},{BJ4WU},,{0},{0},{0},{6},"{almir.neto@ifpb.edu.br
sergiodbe@gmail.com}","{Computer Science, Artificial Intelligence; Computer Science, Information
Systems}",{Computer Science},,"{Air dehumidifier; Water scarcity-shortage-crisis; Embedded system;
Peltier; Open-hardware; Internet of Things (IoT) application}",{2194-5365},{2194-5357},{10.1007/978-3-319-56535-4\_37},"{Neto, ASES; Espinola, SD (Reprint Author), IFPB, Fed Inst Educ Sci \& Technol Paraiba, Picui, Paraiba, Brazil.
Souza e Silva Neto, Almir; da Silva, Diego Oliveira; Torres de Oliveira, Artur Luiz; Espinola, Sergio de Brito; Freire de Melo, Joao Ricardo; Farias de Lima, Tiago Cesar, IFPB, Fed Inst Educ Sci \& Technol Paraiba, Picui, Paraiba, Brazil.}",{English},{Proceedings Paper},"{HEIDELBERGER PLATZ 3, D-14197 BERLIN, GERMANY}",{SPRINGER-VERLAG BERLIN},"{Currently, the water crisis is not only visible in Brazil but almost
everywhere and it arises where water scarcity becomes a global challenge
or environmental concerns about the shortage of drinking water. The need
to have water available for consumption is critical, since, in turn, it
is the main source for life on Earth. Despite all of Earth's water
found, only 2.5\% of it is freshwater. From this smallest part, 70\% of
it is used in agriculture, 23\% by industries and 7\% for human
consumption. This paper presents an embedded system prototype for air
dehumidifying which has the main purpose of obtaining water (by means of
condensation). Others benefits include low cost, low size, portability
and an Internet of Things application approach. The dehumidifier uses an
aluminum plate around 36 cm(2) and about 0.5 mm thickness, a
thermoelectric Peltier tablet, a breadboard UNO R3 arduino, wires
jumper, transistors TIP122 and 1 K Omega (Ohm) resistors. Within the
initial results, we verified the condensed water in the aluminum and the
formation of water repeatedly and controlled.}",,{367-376},,{569},{2017},,{Air Dehumidifier Controlled by Arduino Using Peltier},"Souza e Silva Neto, Almir and da Silva, Diego Oliveira and Torres de
Oliveira, Artur Luiz and Espinola, Sergio de Brito and Freire de Melo,
Joao Ricardo and Farias de Lima, Tiago Cesar",inproceedings,ISI:000425543100037,,,,"{Freire de Melo, Joao Ricardo/0000-0001-8407-1188}","{Freire de Melo, Joao Ricardo/A-6659-2019}",,,"{World Conference on Information Systems and Technologies (WorldCIST),
Madeira, PORTUGAL, APR 11-13, 2017}",{978-3-319-56535-4; 978-3-319-56534-7},"{RECENT ADVANCES IN INFORMATION SYSTEMS AND TECHNOLOGIES, VOL 1}",,,{Advances in Intelligent Systems and Computing},"{Rocha, A and Correia, AM and Adeli, H and Reis, LP and Costanzo, S}",,,
333,{2020-04-29},{ISI:000423965100028},{FU6LW},{IFAC PAPERSONLINE},{1},{0},{2},{23},"{jsaenz@bec.uned.es
jchacon@bec.uned.es
ldelatorre@dia.uned.es
sdormido@dia.uned.es}",,,{REMOTE LABS; LABORATORIES; EDUCATION; BALL},{Hands-on labs; virtual labs; remote labs; open software; open hardware},,{2405-8963},{10.1016/j.ifacol.2017.08.1727},"{Saenz, J (Reprint Author), UNED, Madrid 28040, Spain.
Saenz, Jacobo; Chacon, Jesus; de la Torre, Luis; Dormido, Sebastian, UNED, Madrid 28040, Spain.}",{English},{Proceedings Paper},"{PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS}",{ELSEVIER SCIENCE BV},"{Virtual, remote and hands-on experimentation can be equally important
and interesting for students of control engineering. This work presents
a low-cost, open-based lab implementation of the air levitation system
that can be easily developed in all the previous forms. (C) 2017, IFAC
(International Federation of Automatic Control) Hosting by Elsevier Ltd.
All rights reserved.}",,{9168-9173},{1},{50},{2017},{IFAC PAPERSONLINE},{An open software - open hardware lab of the air levitation system},"Saenz, Jacobo and Chacon, Jesus and de la Torre, Luis and Dormido,
Sebastian",article,ISI:000423965100028,"{This work was supported in part by the Spanish Ministry of Economy and
Competitiveness under Project DPI2012-31303.}",{Spanish Ministry of Economy and Competitiveness {[}DPI2012-31303]},{Bronze},"{Bencomo, Sebastian Dormido/0000-0002-2405-8771
de la Torre, Luis/0000-0002-9648-9597}","{Bencomo, Sebastian Dormido/K-6918-2014
de la Torre, Luis/R-1816-2018}",,"{Int Federat Automat Control; Continental Automot; Occitanie Reg;
Toulouse Metropole; CNES; Univ Toulouse III; Paul Sabatier; Inria; CNRS;
OPTITRACK; MDPI; ISAE Supaero; iCODE; EECI; Int Journal Automat \& Comp;
IEEE CAA Journal Automatica Sinica; Moveo}","{20th World Congress of the International-Federation-of-Automatic-Control
(IFAC), Toulouse, FRANCE, JUL 09-14, 2017}",,,,,,,,,
334,{2020-04-29},{ISI:000423965100030},{FU6LW},{IFAC PAPERSONLINE},{0},{0},{1},{13},"{prega@unileon.es
saloc@unileon.es
manuel.dominguez@unileon.es
ma.prada@unileon.es
a.moran@unileon.es
jjjfuem@unileon.es}",,,,"{Control Education; Instrumentation Education; Interconnection
Technologies; Remote Laboratory; Raspberry Pi; Data Acquisition}",,{2405-8963},{10.1016/j.ifacol.2017.08.1270},"{Reguera, P (Reprint Author), Univ Leon, SUPPRESS Res Grp, E-24071 Leon, Spain.
Reguera, P.; Alonso, S.; Dominguez, M.; Prada, M. A.; Moran, A.; Fuertes, J. J., Univ Leon, SUPPRESS Res Grp, E-24071 Leon, Spain.}",{English},{Proceedings Paper},"{PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS}",{ELSEVIER SCIENCE BV},"{In this paper, we present a low-cost approach to upgrade an outdated
PUMA (Programmable Universal Machine for Assembly) 560 robot in order to
widen the number and type of possible hands-on experiments in control
and instrumentation education. Another aim of the upgrade is to enable
its future connection to a remote laboratory. We propose a scalable
structure to control and monitoring PUMA560 motors. This approach
combines several different technologies: A Raspberry Pi for control and
monitoring, Python to control the system and chart data, as well as
converters and drivers with serial I2C bus interface connectivity to
read/write data from/to Puma560 robot. The ideas here explained could be
applicable to other physical systems with similar characteristics and
number of variables. (C) 2017, IFAC (International Federation of
Automatic Control) Hosting by Elsevier Ltd. All rights reserved.}",,{9180-9185},{1},{50},{2017},{IFAC PAPERSONLINE},{USING LOW-COST OPEN SOURCE HARDWARE TO CONTROL PUMA560 MOTORS},"Reguera, P. and Alonso, S. and Dominguez, M. and Prada, M. A. and Moran,
A. and Fuertes, J. J.",article,ISI:000423965100030,,,{Bronze},"{Alonso, Serafin/0000-0003-3467-4938
Prada, Miguel A./0000-0002-1563-1556
Reguera Acevedo, Perfecto/0000-0002-3346-5109
Dominguez Gonzalez, Manuel/0000-0002-3921-1599}","{Alonso, Serafin/L-5237-2014
Prada, Miguel A./M-3061-2019
Dominguez Gonzalez, Manuel/L-3105-2014}",,"{Int Federat Automat Control; Continental Automot; Occitanie Reg;
Toulouse Metropole; CNES; Univ Toulouse III; Paul Sabatier; Inria; CNRS;
OPTITRACK; MDPI; ISAE Supaero; iCODE; EECI; Int Journal Automat \& Comp;
IEEE CAA Journal Automatica Sinica; Moveo}","{20th World Congress of the International-Federation-of-Automatic-Control
(IFAC), Toulouse, FRANCE, JUL 09-14, 2017}",,,,,,,,,
